Epoch,loss,accuracy,val_loss,val_accuracy,Name,Repetition
0,1.6315356492996216,0.40893056988716125,2.1315760612487793,0.29038888216018677,1 conv layer,0
1,1.3566672801971436,0.5097638964653015,1.768149495124817,0.40844443440437317,1 conv layer,0
2,1.2586514949798584,0.5486666560173035,1.517338514328003,0.4606666564941406,1 conv layer,0
3,1.1894479990005493,0.5728194713592529,1.4605339765548706,0.49666666984558105,1 conv layer,0
4,1.1306058168411255,0.5958194732666016,1.4312688112258911,0.50727778673172,1 conv layer,0
5,1.0820741653442383,0.6130277514457703,1.4189488887786865,0.5135555267333984,1 conv layer,0
6,1.0335674285888672,0.6337639093399048,1.4735498428344727,0.5015000104904175,1 conv layer,0
7,0.9935290813446045,0.6449166536331177,1.5018645524978638,0.5032777786254883,1 conv layer,0
8,0.9527454376220703,0.6620277762413025,1.6230419874191284,0.4932222366333008,1 conv layer,0
9,0.9165014028549194,0.6723333597183228,1.603008508682251,0.4811111092567444,1 conv layer,0
10,0.8812066316604614,0.6861388683319092,1.978026270866394,0.4466666579246521,1 conv layer,0
11,0.8498746156692505,0.6970000267028809,1.6494303941726685,0.4967222213745117,1 conv layer,0
12,0.8180514574050903,0.7086805701255798,1.7141847610473633,0.49266666173934937,1 conv layer,0
13,0.7867066860198975,0.7201666831970215,1.8104970455169678,0.4872777760028839,1 conv layer,0
14,0.7593085169792175,0.7289027571678162,1.9509007930755615,0.4781111180782318,1 conv layer,0
15,0.7304749488830566,0.7407083511352539,1.9117341041564941,0.4881666600704193,1 conv layer,0
16,0.7055370807647705,0.7491388916969299,2.160792112350464,0.4416666626930237,1 conv layer,0
17,0.679845929145813,0.7584444284439087,2.0424938201904297,0.47527778148651123,1 conv layer,0
18,0.6571095585823059,0.7658888697624207,2.3017325401306152,0.4323333203792572,1 conv layer,0
19,0.6345585584640503,0.7739861011505127,2.248229503631592,0.4698333442211151,1 conv layer,0
20,0.6232585310935974,0.7792361378669739,2.435793399810791,0.44527778029441833,1 conv layer,0
21,0.6008037328720093,0.7859583497047424,2.3605873584747314,0.45561110973358154,1 conv layer,0
22,0.5799104571342468,0.7931805849075317,2.401247024536133,0.46416667103767395,1 conv layer,0
23,0.5666856169700623,0.7977361083030701,2.4235165119171143,0.47011110186576843,1 conv layer,0
24,0.5415427088737488,0.8063611388206482,2.9338788986206055,0.41361111402511597,1 conv layer,0
25,0.5351324081420898,0.8091805577278137,2.658395528793335,0.4527222216129303,1 conv layer,0
26,0.5111228823661804,0.8159444332122803,2.684211015701294,0.45311111211776733,1 conv layer,0
27,0.49833691120147705,0.8219444155693054,2.9411137104034424,0.44288888573646545,1 conv layer,0
28,0.4810108542442322,0.8298472166061401,2.9361608028411865,0.45661109685897827,1 conv layer,0
29,0.472821980714798,0.8297361135482788,2.9341647624969482,0.44866666197776794,1 conv layer,0
0,1.6338430643081665,0.4088055491447449,1.6170722246170044,0.4250555634498596,1 conv layer,1
1,1.3648505210876465,0.507319450378418,1.4676320552825928,0.47477778792381287,1 conv layer,1
2,1.2605059146881104,0.5451111197471619,1.6749404668807983,0.41422221064567566,1 conv layer,1
3,1.1877821683883667,0.5730555653572083,1.376612901687622,0.5040555596351624,1 conv layer,1
4,1.124535322189331,0.5956527590751648,1.927181601524353,0.4042777717113495,1 conv layer,1
5,1.07317054271698,0.6156389117240906,1.4528759717941284,0.4983888864517212,1 conv layer,1
6,1.0227386951446533,0.633430540561676,1.6437716484069824,0.4703333377838135,1 conv layer,1
7,0.9756944179534912,0.6514722108840942,1.5705639123916626,0.4758888781070709,1 conv layer,1
8,0.9315398335456848,0.6673333048820496,1.5693565607070923,0.496277779340744,1 conv layer,1
9,0.887382984161377,0.6825694441795349,1.5940381288528442,0.4958333373069763,1 conv layer,1
10,0.8526493310928345,0.6967638731002808,1.710504412651062,0.47838887572288513,1 conv layer,1
11,0.8128764033317566,0.7112500071525574,1.7190866470336914,0.4930555522441864,1 conv layer,1
12,0.7788774967193604,0.7216528058052063,1.852852702140808,0.4801666736602783,1 conv layer,1
13,0.7470292448997498,0.7344722151756287,1.8221158981323242,0.47805556654930115,1 conv layer,1
14,0.7158975005149841,0.7446666955947876,2.038578987121582,0.4715000092983246,1 conv layer,1
15,0.6877199411392212,0.7536805272102356,1.9836291074752808,0.4832777678966522,1 conv layer,1
16,0.6607808470726013,0.7636250257492065,2.139228343963623,0.464944452047348,1 conv layer,1
17,0.6364555954933167,0.7732499837875366,2.148988723754883,0.47616666555404663,1 conv layer,1
18,0.6118214130401611,0.7806249856948853,2.4152321815490723,0.4573333263397217,1 conv layer,1
19,0.5913805365562439,0.7883333563804626,2.3646247386932373,0.4542222321033478,1 conv layer,1
20,0.5684704184532166,0.7950277924537659,2.3816745281219482,0.46711111068725586,1 conv layer,1
21,0.5455617308616638,0.8028610944747925,2.5851335525512695,0.4701666533946991,1 conv layer,1
22,0.5240656733512878,0.8121805787086487,2.618154764175415,0.4666111171245575,1 conv layer,1
23,0.5068588852882385,0.8184722065925598,2.8268868923187256,0.4532777667045593,1 conv layer,1
24,0.49164676666259766,0.8224027752876282,2.732954263687134,0.46388888359069824,1 conv layer,1
25,0.47395414113998413,0.8298055529594421,2.8251543045043945,0.45483332872390747,1 conv layer,1
26,0.4656260311603546,0.8335278034210205,2.9504032135009766,0.45738887786865234,1 conv layer,1
27,0.44702252745628357,0.8382360935211182,3.045339584350586,0.45961111783981323,1 conv layer,1
28,0.4322981834411621,0.8431805372238159,3.372422456741333,0.4171110987663269,1 conv layer,1
29,0.41945117712020874,0.8484722375869751,3.3250679969787598,0.45883333683013916,1 conv layer,1
0,1.6342357397079468,0.41233333945274353,1.472453236579895,0.4680555462837219,1 conv layer,2
1,1.3673149347305298,0.5052222013473511,1.5950045585632324,0.43577778339385986,1 conv layer,2
2,1.2648247480392456,0.5465555787086487,1.4183461666107178,0.4961666762828827,1 conv layer,2
3,1.1935820579528809,0.5714166760444641,1.5047740936279297,0.472555547952652,1 conv layer,2
4,1.137514591217041,0.5933055281639099,1.6846370697021484,0.4317777752876282,1 conv layer,2
5,1.087873101234436,0.6122083067893982,2.0083117485046387,0.38850000500679016,1 conv layer,2
6,1.0412652492523193,0.6303055286407471,1.5217499732971191,0.47999998927116394,1 conv layer,2
7,1.0034430027008057,0.6415694355964661,1.5342210531234741,0.4928888976573944,1 conv layer,2
8,0.9641336798667908,0.6571111083030701,1.5977647304534912,0.4819999933242798,1 conv layer,2
9,0.9277437925338745,0.6695138812065125,1.5412555932998657,0.4993889033794403,1 conv layer,2
10,0.8928521275520325,0.6828055381774902,1.6821978092193604,0.4748888909816742,1 conv layer,2
11,0.8588213920593262,0.6957361102104187,2.1718533039093018,0.40727776288986206,1 conv layer,2
12,0.8282214403152466,0.7054861187934875,1.7844555377960205,0.4683888852596283,1 conv layer,2
13,0.7969395518302917,0.7152361273765564,1.7750673294067383,0.49094444513320923,1 conv layer,2
14,0.7707670331001282,0.7257083058357239,2.0956029891967773,0.4320555627346039,1 conv layer,2
15,0.7433242201805115,0.7357639074325562,2.035672903060913,0.4540555477142334,1 conv layer,2
16,0.7148025035858154,0.7447222471237183,1.9269709587097168,0.48294445872306824,1 conv layer,2
17,0.6903314590454102,0.7558611035346985,2.0712504386901855,0.46577778458595276,1 conv layer,2
18,0.6642882823944092,0.76583331823349,2.2080276012420654,0.4633333384990692,1 conv layer,2
19,0.6487385034561157,0.769486129283905,2.23140811920166,0.4618888795375824,1 conv layer,2
20,0.6219866275787354,0.7775833606719971,2.308943271636963,0.44288888573646545,1 conv layer,2
21,0.5989699363708496,0.7868611216545105,2.2932770252227783,0.45694443583488464,1 conv layer,2
22,0.5818060040473938,0.7935555577278137,2.336559772491455,0.47477778792381287,1 conv layer,2
23,0.5735399723052979,0.7940833568572998,2.5381197929382324,0.4357222318649292,1 conv layer,2
24,0.5453030467033386,0.8042916655540466,2.695056438446045,0.4404444396495819,1 conv layer,2
25,0.5254883170127869,0.8123611211776733,2.49530029296875,0.45483332872390747,1 conv layer,2
26,0.5251877903938293,0.8115277886390686,2.6325318813323975,0.44894444942474365,1 conv layer,2
27,0.5025473833084106,0.8202499747276306,2.627852439880371,0.44966667890548706,1 conv layer,2
28,0.47986024618148804,0.829277753829956,2.835278034210205,0.44572222232818604,1 conv layer,2
29,0.4720996022224426,0.8320833444595337,2.6981844902038574,0.45161110162734985,1 conv layer,2
0,1.7256700992584229,0.38891667127609253,2.344355583190918,0.32722222805023193,2 conv layers,0
1,1.4448963403701782,0.4876527786254883,1.416197657585144,0.4954444468021393,2 conv layers,0
2,1.353999137878418,0.5205416679382324,1.4369728565216064,0.4918888807296753,2 conv layers,0
3,1.2913273572921753,0.5452916622161865,1.3929048776626587,0.5108888745307922,2 conv layers,0
4,1.2495003938674927,0.5603055357933044,1.8500040769577026,0.3884444534778595,2 conv layers,0
5,1.2198888063430786,0.5708611011505127,1.7140685319900513,0.4203888773918152,2 conv layers,0
6,1.191307544708252,0.582111120223999,1.465718150138855,0.49488890171051025,2 conv layers,0
7,1.1671310663223267,0.5905972123146057,1.4190438985824585,0.5096111297607422,2 conv layers,0
8,1.1472914218902588,0.5974305272102356,1.3620176315307617,0.5217777490615845,2 conv layers,0
9,1.1291929483413696,0.606166660785675,1.342663288116455,0.5345555543899536,2 conv layers,0
10,1.1158006191253662,0.6079999804496765,1.4046998023986816,0.5231666564941406,2 conv layers,0
11,1.1041945219039917,0.6122083067893982,1.5586837530136108,0.49000000953674316,2 conv layers,0
12,1.0872009992599487,0.6189028024673462,1.4586632251739502,0.5046666860580444,2 conv layers,0
13,1.0744212865829468,0.6230833530426025,1.4270730018615723,0.516777753829956,2 conv layers,0
14,1.0644179582595825,0.6272361278533936,1.4269073009490967,0.5136111378669739,2 conv layers,0
15,1.0549331903457642,0.6294583082199097,1.4113826751708984,0.5217777490615845,2 conv layers,0
16,1.0437217950820923,0.6337639093399048,1.4248076677322388,0.5235555768013,2 conv layers,0
17,1.036271333694458,0.6345833539962769,1.3980404138565063,0.5308889150619507,2 conv layers,0
18,1.0342553853988647,0.6378055810928345,1.488034725189209,0.5070555806159973,2 conv layers,0
19,1.023868203163147,0.6398472189903259,1.4366483688354492,0.5162222385406494,2 conv layers,0
20,1.015697956085205,0.6415416598320007,1.4552557468414307,0.5169444680213928,2 conv layers,0
