Epoch,loss,accuracy,val_loss,val_accuracy,Name,Repetition
0,0.43017780780792236,0.7868377566337585,0.36721181869506836,0.8047909736633301,Transformer A,0
1,0.3183639943599701,0.8477209210395813,0.26924392580986023,0.8740169405937195,Transformer A,0
2,0.2674786150455475,0.8784276843070984,0.2676461935043335,0.8852441906929016,Transformer A,0
3,0.23029930889606476,0.9004682302474976,0.23433445394039154,0.9018522500991821,Transformer A,0
4,0.21107782423496246,0.9100527763366699,0.20062671601772308,0.9164941906929016,Transformer A,0
5,0.18992261588573456,0.9186930656433105,0.21155817806720734,0.9110099077224731,Transformer A,0
6,0.17689980566501617,0.9252897500991821,0.20927183330059052,0.9144246578216553,Transformer A,0
7,0.16759832203388214,0.9307352304458618,0.1872757375240326,0.9182015657424927,Transformer A,0
8,0.16100361943244934,0.9319122433662415,0.17923691868782043,0.9260140657424927,Transformer A,0
9,0.15578700602054596,0.933942973613739,0.1859244555234909,0.9235823750495911,Transformer A,0
10,0.15243008732795715,0.9361289143562317,0.16575241088867188,0.9319639801979065,Transformer A,0
11,0.14325544238090515,0.939750611782074,0.1790185570716858,0.9268936514854431,Transformer A,0
12,0.13896575570106506,0.9421693682670593,0.17151835560798645,0.9318087697029114,Transformer A,0
13,0.1348140984773636,0.9444329738616943,0.16599920392036438,0.9340335130691528,Transformer A,0
14,0.13021403551101685,0.9456746578216553,0.18043480813503265,0.9318605065345764,Transformer A,0
15,0.1269482970237732,0.9476536512374878,0.1699199229478836,0.9348613619804382,Transformer A,0
16,0.12669087946414948,0.9469034671783447,0.18084906041622162,0.9322744011878967,Transformer A,0
17,0.11689013242721558,0.9528145790100098,0.17289312183856964,0.9326883554458618,Transformer A,0
18,0.11370731890201569,0.952775776386261,0.1584053784608841,0.9378104209899902,Transformer A,0
19,0.10886668413877487,0.9555954933166504,0.16707058250904083,0.9382243156433105,Transformer A,0
0,0.431944876909256,0.7856606841087341,0.4114433228969574,0.7960989475250244,Transformer A,1
1,0.319757878780365,0.8473328948020935,0.2926765978336334,0.8586506843566895,Transformer A,1
2,0.2636103928089142,0.8820235133171082,0.2568056881427765,0.8815707564353943,Transformer A,1
3,0.2375183403491974,0.8965749144554138,0.22432461380958557,0.9049565196037292,Transformer A,1
4,0.21241027116775513,0.9085394144058228,0.22807501256465912,0.8988513946533203,Transformer A,1
5,0.194389209151268,0.917322039604187,0.23625634610652924,0.9041287302970886,Transformer A,1
6,0.1889854520559311,0.9205297827720642,0.22715547680854797,0.9072847962379456,Transformer A,1
